#2003 - Ktunaxa

culture = ktunaxa #salish
religion = sgaanaang
capital = "Hakiskaqlihit"
trade_goods = salt
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
native_size = 10
native_ferocity = 1
native_hostileness = 3
discovered_by = north_american


1444.11.2 = {
	owner = KTX
	controller = KTX
	add_core = KTX
	is_city = yes
}
1444.11.6 = {
	owner = XXX
	controller = XXX
	add_core = XXX
	is_city = no
}
1444.11.7 = {
	owner = KTX
	controller = KTX
	add_core = KTX
	is_city = yes
}
1444.11.12 = {
	owner = XXX
	controller = XXX
	add_core = XXX
	is_city = no
}
1444.11.13 = {
	owner = KTX
	controller = KTX
	add_core = KTX
	is_city = yes
}

1808.1.1 = {
	owner = GBR
	controller = GBR
	add_core = GBR
	capital = "Cranbrook"
	is_city = yes
	trade_goods = fur
	religion = protestant
	culture = american 
} #Kootenae house
